"LicAge","VehAge","Gender","MariStat","SocioCateg","VehUsage","DrivAge","HasKmLimit","BonusMalus","VehBody","VehPrice","VehEngine","VehEnergy","VehMaxSpeed","VehClass","y","RiskVar","Garage"
263,"10+","Male","Other","CSP46","Professional",44,0,50,"van","E","injection","diesel","130-140 km/h","M1","GOOD",18,"None"
622,"10+","Female","Alone","CSP55","Private+trip to office",73,0,50,"sedan","B","carburation","regular","1-130 km/h","A","GOOD",16,"None"
454,"0","Male","Other","CSP50","Professional",56,0,50,"sport utility vehicle","P","direct injection overpowered","diesel","200-220 km/h","M2","BAD",17,"Private garage"
284,"10+","Female","Other","CSP1","Professional",48,0,50,"sedan","D","carburation","regular","150-160 km/h","B","GOOD",3,"None"
163,"2","Female","Other","CSP60","Private",63,0,85,"sedan","G","injection","regular","150-160 km/h","B","GOOD",16,"None"
184,"10+","Female","Other","CSP50","Private+trip to office",35,0,50,"sedan","G","carburation","regular","160-170 km/h","B","GOOD",8,"None"
332,"1","Male","Other","CSP55","Professional",46,0,50,"sedan","H","direct injection overpowered","diesel","160-170 km/h","B","GOOD",18,"Private garage"
447,"0","Male","Alone","CSP48","Professional",58,0,50,"sedan","K","direct injection overpowered","diesel","180-190 km/h","M1","GOOD",18,"None"
408,"8-9","Female","Other","CSP50","Private+trip to office",54,0,54,"other microvan","J","injection","regular","180-190 km/h","M1","GOOD",17,"None"
434,"3","Male","Alone","CSP50","Private",56,1,50,"sedan","F","injection","regular","160-170 km/h","B","GOOD",12,"None"
387,"8-9","Male","Other","CSP50","Private+trip to office",51,0,50,"sedan","A","injection","regular","130-140 km/h","A","GOOD",12,"None"
222,"6-7","Female","Other","CSP50","Private+trip to office",56,0,50,"sedan","H","injection","regular","170-180 km/h","M1","GOOD",9,"None"
316,"0","Female","Other","CSP50","Private",45,0,60,"sedan","H","injection","regular","180-190 km/h","B","GOOD",16,"None"
284,"5","Female","Other","CSP50","Private+trip to office",43,0,50,"sedan","E","injection","regular","150-160 km/h","B","GOOD",20,"None"
245,"6-7","Male","Other","CSP48","Professional",57,0,51,"van","F","injection","regular","140-150 km/h","M1","GOOD",17,"Collective garage"
459,"6-7","Male","Other","CSP50","Private",56,1,50,"sedan","F","injection","regular","150-160 km/h","B","GOOD",18,"None"
244,"3","Female","Other","CSP55","Private+trip to office",38,0,50,"sedan","H","injection","regular","170-180 km/h","M1","GOOD",5,"None"
145,"6-7","Female","Other","CSP50","Private+trip to office",30,0,67,"sedan","H","injection","regular","170-180 km/h","B","GOOD",14,"None"
249,"10+","Female","Other","CSP55","Private+trip to office",42,0,51,"sedan","G","carburation","regular","160-170 km/h","M1","GOOD",19,"None"
607,"6-7","Male","Other","CSP1","Professional",81,0,50,"sedan","J","injection","regular","170-180 km/h","M1","GOOD",19,"Collective garage"
466,"4","Male","Other","CSP50","Private",59,0,50,"cabriolet","Q","injection overpowered","regular","220+ km/h","H","GOOD",4,"Collective garage"
301,"4","Male","Other","CSP60","Private",81,0,50,"other microvan","P","injection","regular","200-220 km/h","H","GOOD",6,"None"
393,"4","Female","Other","CSP55","Private",50,0,50,"sedan","L","direct injection overpowered","diesel","190-200 km/h","M1","GOOD",11,"None"
145,"2","Female","Other","CSP50","Private+trip to office",31,0,51,"sedan","I","injection","regular","200-220 km/h","M1","GOOD",11,"None"
367,"4","Female","Other","CSP1","Professional",62,0,50,"sedan","K","direct injection overpowered","diesel","190-200 km/h","M2","GOOD",13,"None"
391,"10+","Female","Other","CSP50","Private",50,1,50,"sedan","J","injection","regular","190-200 km/h","M2","GOOD",20,"None"
241,"8-9","Male","Other","CSP50","Private",38,1,50,"sedan","J","injection","regular","170-180 km/h","M2","GOOD",15,"Private garage"
370,"5","Male","Other","CSP46","Professional",49,0,50,"station wagon","H","injection","diesel","140-150 km/h","M1","GOOD",17,"None"
457,"1","Female","Other","CSP50","Private",59,0,50,"sedan","F","injection","regular","150-160 km/h","B","GOOD",9,"None"
753,"5","Male","Other","CSP60","Private",83,1,50,"sedan","I","injection","regular","170-180 km/h","M1","GOOD",14,"Collective garage"
597,"3","Male","Other","CSP60","Private",75,0,85,"sedan","N","direct injection overpowered","diesel","200-220 km/h","M2","GOOD",16,"None"
149,"4","Male","Other","CSP50","Private+trip to office",33,0,100,"other microvan","K","injection","regular","180-190 km/h","M1","GOOD",20,"None"
486,"0","Male","Alone","CSP60","Private",70,0,53,"sedan","H","injection","regular","190-200 km/h","B","GOOD",13,"None"
360,"3","Male","Other","CSP1","Professional",48,0,50,"sedan","T","injection","regular","200-220 km/h","H","GOOD",2,"Private garage"
141,"6-7","Female","Other","CSP55","Private",41,1,51,"sedan","E","injection","regular","140-150 km/h","B","GOOD",19,"None"
257,"3","Male","Other","CSP55","Private+trip to office",43,0,50,"microvan","O","direct injection overpowered","diesel","180-190 km/h","H","GOOD",4,"None"
263,"4","Male","Other","CSP50","Professional",40,0,78,"sedan","E","injection","regular","150-160 km/h","B","BAD",18,"None"
506,"4","Female","Other","CSP50","Private",61,0,50,"sedan","F","injection","regular","160-170 km/h","M1","GOOD",10,"None"
232,"1","Female","Other","CSP55","Private+trip to office",39,0,50,"other microvan","L","injection","regular","170-180 km/h","H","GOOD",13,"None"
430,"3","Female","Other","CSP46","Professional",56,0,50,"station wagon","H","injection","diesel","140-150 km/h","M1","GOOD",13,"None"
531,"10+","Female","Other","CSP60","Private",69,0,50,"sedan","H","injection","regular","160-170 km/h","B","GOOD",13,"None"
409,"6-7","Female","Other","CSP50","Private+trip to office",55,0,50,"sedan","D","injection","regular","150-160 km/h","A","GOOD",2,"None"
226,"3","Female","Other","CSP50","Private",36,0,54,"microvan","N","direct injection overpowered","diesel","170-180 km/h","H","GOOD",15,"None"
449,"3","Female","Other","CSP50","Private+trip to office",55,1,88,"sedan","G","injection","regular","150-160 km/h","B","GOOD",16,"None"
134,"0","Female","Other","CSP55","Private+trip to office",29,0,64,"sedan","G","injection","regular","170-180 km/h","B","GOOD",5,"None"
382,"4","Male","Other","CSP48","Professional",50,0,76,"sedan","H","injection","regular","150-160 km/h","B","GOOD",8,"None"
261,"5","Male","Other","CSP50","Private+trip to office",40,0,51,"microvan","N","injection","regular","160-170 km/h","H","GOOD",9,"None"
159,"5","Male","Other","CSP50","Private+trip to office",35,0,85,"sedan","D","injection","regular","150-160 km/h","A","GOOD",15,"None"
413,"1","Male","Other","CSP50","Private+trip to office",57,0,72,"other microvan","K","injection","regular","180-190 km/h","M1","GOOD",14,"None"
576,"3","Male","Other","CSP60","Private",66,0,50,"other microvan","J","injection","regular","170-180 km/h","M1","GOOD",15,"None"
132,"3","Female","Other","CSP50","Private+trip to office",29,0,76,"sedan","I","direct injection overpowered","diesel","170-180 km/h","B","GOOD",13,"None"
410,"10+","Male","Other","CSP50","Private+trip to office",52,0,50,"sedan","J","injection","regular","170-180 km/h","H","GOOD",11,"None"
428,"4","Male","Alone","CSP50","Professional",53,0,50,"sport utility vehicle","M","injection","regular","170-180 km/h","H","GOOD",13,"Collective garage"
166,"10+","Male","Alone","CSP50","Private+trip to office",32,0,106,"sedan","K","injection","regular","190-200 km/h","M2","GOOD",13,"None"
235,"2","Female","Alone","CSP50","Private+trip to office",37,0,100,"sedan","E","injection","regular","160-170 km/h","A","GOOD",14,"None"
494,"1","Male","Other","CSP42","Private+trip to office",59,0,50,"other microvan","L","injection","regular","180-190 km/h","M2","GOOD",7,"None"
437,"10+","Male","Other","CSP60","Private",74,0,50,"sedan","L","injection","regular","180-190 km/h","M2","GOOD",11,"None"
433,"5","Female","Other","CSP46","Private+trip to office",60,0,50,"other microvan","J","injection","regular","160-170 km/h","M1","GOOD",18,"None"
293,"8-9","Male","Other","CSP50","Private+trip to office",43,0,50,"sedan","L","injection overpowered","diesel","170-180 km/h","M2","GOOD",7,"None"
490,"0","Male","Alone","CSP60","Private",65,0,50,"coupe","N","injection overpowered","regular","200-220 km/h","M2","GOOD",13,"Collective garage"
385,"2","Male","Other","CSP55","Professional",51,0,50,"sedan","K","injection","regular","180-190 km/h","M1","GOOD",19,"Private garage"
382,"1","Female","Alone","CSP50","Private+trip to office",51,0,50,"sedan","G","injection","regular","160-170 km/h","B","GOOD",16,"None"
482,"2","Male","Other","CSP60","Private",70,1,64,"sedan","I","carburation","regular","160-170 km/h","H","GOOD",10,"None"
334,"2","Male","Other","CSP50","Private+trip to office",48,0,50,"other microvan","N","injection overpowered","regular","190-200 km/h","H","GOOD",15,"None"
566,"2","Male","Other","CSP60","Private",72,0,50,"sedan","K","injection","regular","190-200 km/h","M2","GOOD",15,"Collective garage"
128,"8-9","Female","Alone","CSP50","Private",29,1,57,"sedan","A","carburation","regular","130-140 km/h","A","GOOD",12,"None"
249,"6-7","Male","Other","CSP50","Professional",40,0,76,"other microvan","K","injection","regular","170-180 km/h","H","GOOD",15,"None"
157,"10+","Male","Alone","CSP50","Private+trip to office",31,0,76,"sedan","G","carburation","regular","170-180 km/h","M1","GOOD",18,"None"
165,"10+","Male","Alone","CSP26","Private+trip to office",34,0,63,"van","G","injection","diesel","130-140 km/h","0","GOOD",4,"None"
488,"4","Male","Other","CSP60","Private",83,1,66,"sedan","E","injection","regular","160-170 km/h","B","GOOD",19,"None"
552,"10+","Male","Other","CSP42","Private+trip to office",64,1,50,"cabriolet","U","injection","regular","220+ km/h","H","GOOD",17,"Collective garage"
621,"8-9","Female","Other","CSP60","Private",76,0,50,"sedan","K","injection","regular","180-190 km/h","M2","GOOD",16,"None"
186,"6-7","Male","Other","CSP42","Private+trip to office",33,0,72,"sedan","D","injection","regular","150-160 km/h","A","GOOD",16,"None"
481,"6-7","Male","Other","CSP50","Private+trip to office",58,0,50,"sedan","D","injection","regular","150-160 km/h","A","GOOD",5,"None"
386,"10+","Female","Other","CSP60","Private",77,1,50,"sedan","N","injection","regular","180-190 km/h","M2","GOOD",16,"None"
362,"10+","Male","Other","CSP50","Private+trip to office",67,0,51,"sedan","D","carburation","regular","130-140 km/h","M1","GOOD",7,"None"
319,"3","Female","Other","CSP46","Private",45,0,50,"station wagon","J","direct injection overpowered","diesel","180-190 km/h","M1","GOOD",14,"None"
420,"4","Male","Other","CSP60","Private",62,0,50,"cabriolet","J","injection","regular","160-170 km/h","M1","BAD",12,"Private garage"
169,"5","Male","Other","CSP50","Professional",33,0,112,"sedan","L","injection","regular","180-190 km/h","M2","GOOD",20,"None"
417,"10+","Male","Other","CSP50","Private+trip to office",54,0,50,"sedan","K","injection","regular","190-200 km/h","M2","GOOD",11,"None"
122,"3","Male","Alone","CSP50","Private+trip to office",28,0,76,"sedan","M","direct injection overpowered","diesel","190-200 km/h","M1","GOOD",15,"None"
499,"1","Female","Other","CSP50","Private",59,0,50,"sedan","K","injection","regular","190-200 km/h","M2","GOOD",16,"None"
420,"2","Female","Other","CSP60","Private",71,0,50,"coupe","K","injection","regular","190-200 km/h","M1","GOOD",16,"None"
185,"5","Male","Alone","CSP50","Private+trip to office",34,0,57,"sedan","J","injection","regular","190-200 km/h","M1","GOOD",13,"None"
426,"1","Female","Other","CSP50","Private",60,0,50,"coupe","D","injection overpowered","regular","130-140 km/h","A","GOOD",16,"None"
382,"10+","Male","Other","CSP50","Professional",54,0,50,"sedan","G","carburation","regular","180-190 km/h","B","GOOD",17,"None"
328,"5","Female","Other","CSP50","Private+trip to office",46,0,52,"sedan","G","injection","regular","170-180 km/h","M1","GOOD",16,"None"
475,"0","Male","Other","CSP50","Private",57,0,57,"other microvan","L","injection","regular","180-190 km/h","M1","GOOD",17,"None"
195,"0","Male","Other","CSP50","Private+trip to office",34,0,68,"station wagon","N","direct injection overpowered","diesel","190-200 km/h","M2","BAD",14,"None"
165,"0","Female","Alone","CSP50","Private+trip to office",31,0,76,"sedan","G","injection","regular","180-190 km/h","B","GOOD",16,"Collective garage"
245,"8-9","Female","Alone","CSP50","Private+trip to office",38,0,63,"coupe","L","injection","regular","200-220 km/h","M2","GOOD",15,"None"
290,"4","Female","Other","CSP50","Private+trip to office",45,0,51,"station wagon","N","injection","regular","180-190 km/h","M2","GOOD",11,"None"
422,"2","Female","Other","CSP55","Private+trip to office",53,0,50,"sedan","L","injection","regular","200-220 km/h","M1","GOOD",6,"None"
456,"10+","Male","Other","CSP60","Private",74,0,50,"sedan","K","injection","regular","190-200 km/h","M2","GOOD",13,"Private garage"
689,"5","Male","Other","CSP60","Private",79,1,50,"sedan","G","injection","regular","160-170 km/h","B","GOOD",15,"None"
411,"6-7","Male","Other","CSP50","Private+trip to office",55,0,50,"sedan","D","injection","regular","150-160 km/h","A","GOOD",7,"None"
313,"2","Male","Other","CSP50","Professional",44,0,50,"sedan","R","injection","regular","220+ km/h","H","GOOD",17,"Collective garage"
121,"3","Male","Other","CSP50","Professional",28,0,76,"sedan","L","direct injection overpowered","diesel","190-200 km/h","H","GOOD",16,"None"
383,"4","Female","Other","CSP22","Professional",50,0,50,"sedan","F","injection","regular","150-160 km/h","B","BAD",15,"None"
369,"4","Male","Other","CSP50","Private+trip to office",59,0,50,"sport utility vehicle","L","injection","regular","160-170 km/h","H","GOOD",9,"None"
412,"3","Female","Other","CSP50","Private+trip to office",57,1,50,"sedan","H","injection","regular","180-190 km/h","B","GOOD",15,"None"
490,"2","Male","Other","CSP55","Private+trip to office",60,0,50,"sedan","H","injection","regular","170-180 km/h","B","BAD",8,"None"
433,"10+","Female","Other","CSP55","Private+trip to office",55,0,50,"station wagon","F","carburation","regular","150-160 km/h","0","GOOD",12,"None"
523,"1","Female","Other","CSP60","Private",75,1,50,"sedan","F","injection","regular","160-170 km/h","B","GOOD",15,"None"
278,"10+","Female","Alone","CSP50","Private",52,1,60,"sedan","E","carburation","regular","130-140 km/h","M1","GOOD",18,"None"
270,"10+","Female","Alone","CSP55","Private+trip to office",41,0,50,"van","E","injection","diesel","150-160 km/h","B","GOOD",16,"None"
335,"0","Male","Other","CSP48","Professional",49,0,64,"van","K","direct injection overpowered","diesel","150-160 km/h","0","GOOD",11,"None"
110,"6-7","Male","Other","CSP50","Private+trip to office",41,1,106,"sedan","L","injection overpowered","diesel","190-200 km/h","M2","GOOD",16,"None"
450,"1","Male","Other","CSP1","Professional",55,0,50,"sport utility vehicle","M","direct injection overpowered","diesel","160-170 km/h","M2","GOOD",16,"None"
448,"6-7","Female","Other","CSP60","Private",57,0,50,"sedan","K","injection","regular","180-190 km/h","B","GOOD",16,"None"
473,"0","Male","Other","CSP50","Private+trip to office",60,0,50,"sedan","I","direct injection overpowered","diesel","180-190 km/h","B","GOOD",20,"None"
257,"5","Female","Other","CSP46","Professional",43,0,60,"station wagon","O","injection","regular","220+ km/h","M2","GOOD",19,"None"
470,"1","Female","Other","CSP60","Private",62,0,90,"sedan","F","injection","regular","160-170 km/h","B","GOOD",15,"None"
200,"1","Male","Alone","CSP50","Private",38,1,68,"sedan","F","injection","regular","170-180 km/h","B","GOOD",14,"None"
272,"6-7","Female","Other","CSP50","Private",41,0,95,"sport utility vehicle","S","injection overpowered","diesel","160-170 km/h","H","GOOD",15,"Collective garage"
652,"3","Male","Other","CSP60","Private",78,0,50,"sedan","F","injection","regular","160-170 km/h","A","GOOD",5,"None"
350,"3","Male","Other","CSP60","Private",65,0,50,"sedan","E","injection","regular","160-170 km/h","B","GOOD",20,"None"
583,"0","Male","Other","CSP60","Private",73,0,50,"sedan","K","injection","regular","200-220 km/h","M1","GOOD",20,"Private garage"
744,"10+","Male","Other","CSP60","Private",82,1,50,"sedan","M","injection","regular","200-220 km/h","H","GOOD",8,"None"
510,"6-7","Female","Other","CSP37","Private",61,1,50,"coupe","I","injection","regular","180-190 km/h","M1","GOOD",18,"Private garage"
583,"2","Female","Alone","CSP60","Private",68,0,50,"sedan","H","injection","regular","160-170 km/h","M1","GOOD",19,"Collective garage"
110,"1","Male","Other","CSP50","Professional",29,0,60,"other microvan","K","injection","regular","180-190 km/h","M1","GOOD",7,"None"
332,"0","Male","Other","CSP50","Private+trip to office",49,0,50,"sedan","F","injection","regular","150-160 km/h","A","GOOD",20,"None"
339,"1","Male","Other","CSP60","Private",62,0,50,"bus","K","direct injection overpowered","diesel","170-180 km/h","M1","GOOD",14,"None"
378,"10+","Male","Other","CSP50","Private+trip to office",60,0,106,"sport utility vehicle","P","injection overpowered","diesel","140-150 km/h","H","GOOD",13,"Collective garage"
343,"2","Female","Other","CSP50","Private+trip to office",50,0,50,"coupe","C","injection overpowered","regular","130-140 km/h","A","GOOD",7,"None"
630,"3","Female","Other","CSP60","Private",74,0,50,"sedan","F","injection","diesel","150-160 km/h","B","GOOD",16,"None"
482,"2","Male","Other","CSP60","Private",63,0,68,"coupe","N","direct injection overpowered","diesel","200-220 km/h","M2","GOOD",9,"None"
125,"4","Female","Other","CSP50","Private+trip to office",46,0,64,"sedan","I","injection","regular","180-190 km/h","M1","GOOD",11,"None"
588,"1","Male","Other","CSP60","Private",67,0,50,"sedan","Q","direct injection overpowered","diesel","220+ km/h","H","BAD",16,"Private garage"
488,"2","Male","Other","CSP50","Private+trip to office",61,0,50,"sedan","L","direct injection overpowered","diesel","190-200 km/h","M2","GOOD",17,"None"
349,"10+","Male","Other","CSP50","Private",50,1,50,"sedan","N","injection","diesel","170-180 km/h","M2","GOOD",17,"None"
180,"10+","Male","Other","CSP50","Private",52,0,90,"sedan","N","injection","diesel","170-180 km/h","M2","GOOD",19,"None"
374,"10+","Female","Other","CSP66","Private+trip to office",51,0,50,"sedan","N","injection","regular","200-220 km/h","M2","GOOD",15,"None"
374,"1","Male","Other","CSP50","Private+trip to office",52,0,50,"other microvan","J","injection","regular","180-190 km/h","M1","GOOD",12,"None"
660,"2","Female","Other","CSP60","Private",77,1,64,"sedan","I","injection","regular","170-180 km/h","M1","GOOD",11,"None"
300,"6-7","Female","Other","CSP55","Private+trip to office",47,0,57,"sedan","H","injection","diesel","150-160 km/h","M1","GOOD",16,"Private garage"
184,"1","Male","Other","CSP50","Professional",34,0,50,"other microvan","L","direct injection overpowered","diesel","170-180 km/h","M1","GOOD",19,"None"
416,"8-9","Male","Other","CSP55","Private+trip to office",57,0,80,"sedan","E","injection","regular","160-170 km/h","B","GOOD",7,"Collective garage"
259,"5","Female","Alone","CSP50","Private+trip to office",41,0,76,"sedan","F","injection","regular","160-170 km/h","B","GOOD",11,"None"
236,"8-9","Male","Other","CSP60","Private",61,1,72,"bus","L","injection","diesel","130-140 km/h","0","GOOD",4,"None"
113,"1","Female","Other","CSP50","Private",28,0,60,"other microvan","K","direct injection overpowered","diesel","170-180 km/h","M1","GOOD",13,"Private garage"
278,"10+","Male","Other","CSP50","Private",41,0,50,"cabriolet","I","carburation","regular","150-160 km/h","M1","GOOD",19,"None"
406,"2","Female","Other","CSP66","Professional",52,0,69,"sedan","J","injection","regular","190-200 km/h","B","GOOD",16,"None"
264,"1","Male","Alone","CSP50","Private+trip to office",40,0,50,"cabriolet","J","injection","regular","200-220 km/h","B","GOOD",10,"None"
420,"0","Male","Other","CSP50","Professional",53,0,50,"microvan","M","direct injection overpowered","diesel","180-190 km/h","M1","GOOD",18,"None"
177,"6-7","Female","Alone","CSP50","Private+trip to office",33,0,54,"sedan","E","injection","regular","150-160 km/h","B","GOOD",19,"None"
530,"10+","Male","Other","CSP46","Professional",62,0,50,"van","E","injection","diesel","130-140 km/h","0","GOOD",12,"None"
479,"10+","Male","Other","CSP1","Private",58,1,50,"sedan","M","carburation","regular","190-200 km/h","0","GOOD",16,"None"
152,"10+","Male","Alone","CSP48","Private",31,1,64,"sedan","C","carburation","regular","140-150 km/h","B","GOOD",4,"None"
250,"2","Female","Other","CSP50","Private+trip to office",61,0,50,"sedan","I","injection","regular","180-190 km/h","M1","BAD",8,"None"
318,"5","Male","Other","CSP50","Private+trip to office",45,0,50,"other microvan","O","injection overpowered","diesel","170-180 km/h","H","GOOD",6,"None"
150,"10+","Male","Other","CSP50","Private+trip to office",31,0,64,"sedan","I","injection","diesel","160-170 km/h","M2","GOOD",16,"None"
294,"3","Male","Other","CSP50","Private+trip to office",44,0,50,"sedan","F","injection","regular","160-170 km/h","B","GOOD",19,"None"
297,"10+","Male","Other","CSP50","Private+trip to office",54,0,59,"sedan","I","injection overpowered","diesel","160-170 km/h","M1","GOOD",13,"None"
139,"2","Male","Other","CSP50","Private+trip to office",36,0,76,"station wagon","M","direct injection overpowered","diesel","190-200 km/h","M2","GOOD",15,"None"
142,"0","Male","Other","CSP50","Private+trip to office",30,0,60,"sedan","M","injection","regular","200-220 km/h","M1","GOOD",16,"Collective garage"
99,"2","Male","Other","CSP21","Professional",26,0,76,"sedan","G","direct injection overpowered","diesel","160-170 km/h","B","GOOD",13,"None"
184,"4","Male","Other","CSP50","Private",36,1,50,"other microvan","M","injection","regular","170-180 km/h","H","GOOD",2,"None"
216,"8-9","Female","Alone","CSP55","Private+trip to office",37,0,95,"sedan","E","injection","regular","160-170 km/h","B","GOOD",6,"None"
165,"3","Male","Other","CSP50","Private+trip to office",31,0,64,"sedan","H","injection","regular","160-170 km/h","B","GOOD",20,"None"
169,"1","Female","Other","CSP50","Professional",33,0,72,"other microvan","K","injection","regular","170-180 km/h","M1","GOOD",16,"None"
510,"5","Female","Alone","CSP60","Private",64,1,50,"sedan","G","injection","regular","180-190 km/h","B","GOOD",4,"None"
259,"6-7","Female","Other","CSP50","Private",53,0,50,"sedan","G","injection","regular","170-180 km/h","B","GOOD",18,"None"
475,"8-9","Female","Other","CSP37","Private",57,0,119,"sedan","M","injection","regular","180-190 km/h","M2","GOOD",14,"Private garage"
450,"2","Male","Alone","CSP46","Professional",55,0,50,"other microvan","N","direct injection overpowered","diesel","170-180 km/h","H","GOOD",12,"None"
102,"3","Male","Alone","CSP50","Private",26,0,100,"cabriolet","M","injection","regular","190-200 km/h","M2","GOOD",4,"None"
320,"8-9","Female","Other","CSP50","Private+trip to office",46,1,50,"sedan","M","injection","regular","190-200 km/h","H","GOOD",17,"None"
155,"2","Male","Other","CSP46","Professional",37,0,76,"van","J","injection","diesel","130-140 km/h","0","GOOD",12,"None"
722,"2","Male","Other","CSP60","Private",78,0,50,"other microvan","K","injection","regular","170-180 km/h","M1","GOOD",7,"Collective garage"
574,"5","Female","Other","CSP60","Private",67,0,50,"sedan","F","injection","regular","140-150 km/h","B","GOOD",15,"None"
154,"3","Male","Other","CSP50","Private+trip to office",33,0,72,"sedan","F","injection","regular","170-180 km/h","B","GOOD",15,"None"
132,"5","Male","Other","CSP50","Private+trip to office",33,0,64,"sedan","U","injection","regular","220+ km/h","H","BAD",11,"Collective garage"
409,"2","Female","Other","CSP55","Private+trip to office",58,0,68,"sedan","F","injection","regular","160-170 km/h","B","GOOD",15,"Collective garage"
405,"2","Male","Other","CSP50","Private+trip to office",54,0,63,"sedan","H","injection","regular","180-190 km/h","B","GOOD",14,"None"
329,"5","Male","Alone","CSP50","Private+trip to office",50,0,50,"sedan","K","injection","regular","190-200 km/h","M1","GOOD",14,"None"
499,"3","Female","Other","CSP60","Private",73,0,50,"sedan","L","injection","regular","170-180 km/h","B","GOOD",16,"None"
445,"3","Female","Other","CSP50","Private+trip to office",56,0,54,"sedan","G","injection","regular","160-170 km/h","A","GOOD",4,"Collective garage"
498,"5","Male","Other","CSP50","Private+trip to office",61,0,50,"sedan","L","injection","regular","200-220 km/h","M2","GOOD",12,"None"
229,"4","Male","Alone","CSP50","Private+trip to office",37,0,80,"sedan","D","injection","regular","150-160 km/h","B","GOOD",19,"Collective garage"
184,"2","Female","Other","CSP50","Private",41,0,50,"other microvan","K","injection","regular","170-180 km/h","M1","GOOD",16,"None"
305,"2","Female","Other","CSP50","Private",49,0,50,"sedan","F","injection","regular","150-160 km/h","B","GOOD",16,"Collective garage"
298,"10+","Female","Other","CSP50","Private+trip to office",59,0,76,"sedan","E","injection","regular","150-160 km/h","B","GOOD",17,"None"
124,"5","Male","Alone","CSP50","Private+trip to office",29,0,64,"sedan","D","injection","regular","160-170 km/h","B","GOOD",20,"None"
145,"8-9","Female","Alone","CSP50","Private",30,1,51,"sedan","F","injection","regular","150-160 km/h","B","GOOD",11,"None"
175,"1","Female","Other","CSP50","Private",33,0,76,"sedan","L","injection","regular","170-180 km/h","B","GOOD",9,"None"
397,"10+","Male","Other","CSP50","Private+trip to office",52,0,50,"station wagon","H","carburation","regular","150-160 km/h","M2","GOOD",8,"None"
505,"6-7","Female","Other","CSP55","Private+trip to office",63,0,50,"sedan","J","injection overpowered","diesel","180-190 km/h","M1","GOOD",15,"None"
247,"2","Female","Other","CSP50","Private",38,0,90,"other microvan","L","injection","regular","190-200 km/h","M1","GOOD",6,"None"
276,"8-9","Female","Other","CSP48","Private",46,1,50,"sedan","L","injection","regular","180-190 km/h","H","GOOD",2,"None"
333,"3","Male","Other","CSP50","Private+trip to office",57,0,58,"sedan","G","direct injection overpowered","diesel","160-170 km/h","B","GOOD",17,"None"
117,"2","Male","Other","CSP50","Private+trip to office",31,0,60,"other microvan","L","direct injection overpowered","diesel","170-180 km/h","M1","GOOD",12,"None"
215,"6-7","Male","Alone","CSP50","Private+trip to office",35,0,64,"sedan","J","injection","regular","170-180 km/h","M2","GOOD",15,"None"
101,"3","Male","Alone","CSP50","Private",27,0,64,"sedan","G","injection","diesel","160-170 km/h","B","GOOD",13,"Private garage"
259,"6-7","Male","Alone","CSP55","Private+trip to office",41,0,72,"sedan","C","injection","regular","130-140 km/h","M1","GOOD",16,"None"
173,"6-7","Male","Other","CSP50","Private+trip to office",33,1,64,"sedan","E","injection","regular","160-170 km/h","B","GOOD",20,"None"
371,"6-7","Female","Other","CSP77","Professional",50,0,50,"sedan","I","injection","regular","170-180 km/h","B","GOOD",5,"None"
407,"6-7","Female","Other","CSP42","Professional",67,0,68,"coupe","L","injection","regular","200-220 km/h","M2","GOOD",7,"None"
335,"5","Female","Other","CSP55","Private+trip to office",49,0,50,"microvan","N","injection overpowered","diesel","170-180 km/h","H","GOOD",13,"None"
375,"0","Male","Other","CSP6","Professional run",50,0,50,"sedan","L","injection","regular","200-220 km/h","M1","GOOD",16,"Collective garage"
245,"10+","Female","Alone","CSP50","Private+trip to office",40,0,64,"sedan","A","carburation","regular","130-140 km/h","A","GOOD",4,"None"
390,"8-9","Male","Other","CSP1","Professional",67,0,56,"sedan","K","injection","regular","170-180 km/h","M2","GOOD",19,"None"
372,"10+","Female","Other","CSP77","Professional",56,0,64,"sedan","E","injection","regular","160-170 km/h","B","GOOD",9,"None"
452,"1","Female","Other","CSP60","Private",55,0,50,"other microvan","N","direct injection overpowered","diesel","170-180 km/h","M2","GOOD",19,"Collective garage"
513,"10+","Female","Other","CSP1","Professional",61,0,50,"sedan","H","injection","diesel","160-170 km/h","B","GOOD",16,"None"
330,"10+","Male","Other","CSP48","Professional",46,0,50,"sedan","P","injection","regular","220+ km/h","H","GOOD",9,"Collective garage"
543,"2","Female","Other","CSP60","Private",76,0,50,"sedan","G","injection","regular","150-160 km/h","B","GOOD",18,"None"
317,"10+","Male","Other","CSP48","Professional",51,0,62,"sport utility vehicle","O","injection overpowered","diesel","140-150 km/h","H","GOOD",6,"None"
176,"10+","Female","Other","CSP50","Private+trip to office",34,0,50,"sedan","K","injection","regular","200-220 km/h","M2","BAD",19,"None"
458,"4","Male","Other","CSP55","Private+trip to office",59,0,50,"sedan","P","injection","regular","200-220 km/h","H","GOOD",7,"Collective garage"
197,"1","Female","Other","CSP55","Private+trip to office",36,0,50,"other microvan","J","injection","regular","170-180 km/h","M2","GOOD",13,"Collective garage"
390,"0","Female","Other","CSP1","Professional run",51,0,73,"other microvan","I","direct injection overpowered","diesel","170-180 km/h","M1","GOOD",16,"None"
414,"5","Male","Other","CSP46","Professional",54,0,56,"sedan","I","injection overpowered","diesel","180-190 km/h","M1","GOOD",18,"None"
